sample_id,cluster_label
2,3
3,0
4,3
6,3
7,4
8,1
10,2
11,4
12,3
13,1
15,1
17,3
18,3
19,4
20,4
21,1
23,3
25,3
26,4
27,0
28,2
29,3
30,3
31,2
32,3
34,3
35,3
37,4
39,3
41,4
42,3
45,3
48,3
49,3
51,3
52,1
53,3
54,1
57,2
58,3
59,4
60,3
61,3
62,0
63,2
64,3
65,1
66,4
69,4
71,1
72,3
74,2
76,3
77,3
80,3
83,2
85,2
86,3
87,2
88,2
90,1
91,4
92,2
93,2
97,4
98,0
100,4
102,2
103,0
104,2
105,3
106,3
108,0
109,3
110,3
111,1
112,2
116,3
120,4
122,1
123,4
124,0
128,2
129,4
130,3
132,0
133,1
134,3
135,3
136,1
137,0
139,3
141,3
149,0
151,4
152,2
153,3
154,0
155,4
156,3
157,2
158,2
160,3
161,3
162,0
164,3
165,1
167,4
168,4
169,3
170,2
173,4
175,2
176,2
178,2
180,2
181,3
183,4
184,3
185,3
186,3
188,3
190,3
191,2
192,1
193,3
194,1
196,0
198,0
201,1
202,0
203,0
204,3
207,3
208,0
209,3
210,4
211,3
213,0
216,2
218,3
220,0
221,3
222,3
223,1
224,2
225,3
226,3
227,2
229,2
230,2
231,4
232,4
233,1
234,4
236,1
237,1
239,0
242,0
244,0
245,2
246,3
250,1
253,1
258,4
259,0
260,3
261,0
262,3
263,0
264,3
265,3
266,3
267,3
269,1
271,2
273,0
275,2
277,3
278,3
281,3
282,2
283,1
285,0
286,1
289,4
291,3
292,3
293,3
294,3
297,3
298,3
299,3
302,1
303,3
305,3
307,2
309,2
310,0
311,1
313,4
314,0
315,3
316,3
318,1
320,1
321,1
322,2
323,0
324,0
328,4
329,2
330,4
331,0
332,1
334,3
336,2
337,2
338,3
340,0
341,3
342,1
343,1
344,3
345,4
347,0
348,4
350,0
351,0
354,1
355,0
356,1
357,3
358,3
359,1
361,2
363,0
364,4
365,3
366,1
367,3
368,0
372,0
373,4
375,3
378,1
383,4
385,3
386,1
389,1
390,0
393,1
396,3
403,3
404,3
406,2
407,3
408,0
410,0
411,2
414,3
416,1
417,3
418,3
419,2
421,3
423,3
424,1
425,3
426,1
428,3
435,1
437,3
438,1
439,3
440,2
441,2
442,3
443,3
446,1
450,3
455,2
456,1
457,3
458,4
459,0
460,3
461,4
463,2
467,1
468,0
470,1
472,3
475,1
478,2
482,3
483,3
484,0
486,1
487,1
488,4
490,3
493,4
496,0
500,3
501,0
502,2
503,1
504,1
507,2
510,3
511,2
515,2
516,2
518,1
520,4
521,3
522,4
523,4
524,1
525,2
527,4
528,3
532,3
536,4
537,3
538,3
542,3
543,0
545,3
546,3
548,3
552,0
553,1
554,3
555,2
556,3
557,2
559,3
560,0
561,3
562,2
564,4
565,2
568,2
569,4
570,3
572,1
573,2
574,1
577,3
579,3
580,2
582,1
583,3
584,3
585,4
587,0
588,1
590,3
592,3
593,3
594,3
595,1
597,4
598,2
599,0
605,3
609,0
610,1
611,2
612,3
613,1
615,3
616,2
620,0
623,0
625,1
626,2
627,0
628,0
632,4
636,0
638,1
642,1
644,2
645,0
647,2
648,4
649,3
650,3
651,3
655,3
658,3
659,3
661,3
662,3
665,4
668,1
670,2
671,3
675,3
678,3
679,1
680,2
681,4
683,1
684,2
687,3
691,3
692,2
693,3
696,3
697,3
698,3
699,4
701,3
704,1
705,3
706,3
707,2
708,1
709,2
710,2
712,3
721,3
723,4
726,3
728,3
730,2
731,0
732,2
736,3
739,1
740,3
742,4
743,4
745,1
747,1
749,1
750,0
752,2
758,0
759,1
760,2
763,0
764,4
765,0
766,3
768,2
772,2
774,1
775,3
777,1
778,1
779,2
780,3
781,1
782,3
783,4
784,1
787,3
788,4
789,3
790,0
791,0
792,3
794,2
795,4
796,3
797,1
798,0
799,1
800,4
801,1
802,2
803,3
806,0
810,4
811,0
812,2
819,0
821,1
822,4
823,2
824,3
825,2
827,2
830,4
832,4
836,1
838,3
842,2
843,0
844,3
845,3
846,0
847,2
848,2
849,4
850,2
851,2
852,3
855,1
856,0
857,3
859,2
860,3
862,3
864,0
865,0
866,3
870,0
871,0
872,3
873,3
874,3
878,3
879,1
880,1
884,3
886,1
887,1
888,3
889,1
890,3
891,1
892,3
894,2
898,2
899,0
900,1
901,0
902,2
903,3
906,0
907,3
908,1
909,3
911,3
912,0
914,3
917,2
919,1
921,0
927,1
928,3
929,1
932,1
933,3
935,4
936,0
939,3
940,3
941,3
943,3
944,0
945,2
949,3
950,3
951,0
953,3
955,1
957,3
959,0
960,2
961,0
963,3
964,0
968,3
971,2
973,2
978,4
979,4
980,1
981,3
982,1
986,1
989,0
990,3
991,3
992,0
995,4
997,2
1001,3
1002,2
1006,1
1007,3
1009,4
1010,3
1014,3
1015,3
1016,3
1018,3
1020,2
1022,4
1025,3
1027,4
1028,2
1030,4
1032,1
1033,3
1034,2
1036,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,3
1046,3
1049,3
1051,3
1054,3
1055,2
1056,0
1058,2
1059,1
1060,3
1062,2
1063,3
1064,0
1067,2
1068,2
1074,3
1075,3
1082,4
1083,4
1085,4
1086,0
1087,3
1088,3
1089,1
1091,3
1092,3
1093,3
1098,3
1100,0
1101,0
1102,2
1104,3
1105,4
1108,4
1109,4
1113,3
1115,1
1116,4
1117,3
1121,4
1122,4
1123,3
1125,3
1126,1
1128,0
1129,2
1130,0
1131,4
1132,1
1133,2
1134,0
1138,3
1139,4
1140,1
1141,1
1143,3
1144,0
1148,0
1151,2
1152,0
1153,4
1157,3
1158,3
1159,2
1160,3
1165,3
1166,3
1167,0
1168,1
1169,2
1171,4
1173,4
1175,1
1178,0
1179,0
1181,0
1184,3
1185,0
1187,0
1189,2
1190,1
1192,2
1193,2
1195,3
1196,4
1198,1
1201,1
1202,1
1204,4
1205,3
1209,0
1210,2
1214,3
1216,1
1218,3
1219,0
1221,0
1223,2
1225,4
1228,0
1230,3
1231,3
1232,3
1233,0
1234,2
1238,3
1241,2
1243,1
1246,3
1247,2
1250,0
1252,2
1255,4
1256,1
1258,0
1260,4
1263,2
1264,3
1265,2
1266,1
1267,0
1268,1
1271,4
1274,2
1276,3
1277,3
1282,0
1285,1
1286,1
1288,3
1289,3
1290,3
1291,2
1292,3
1294,2
1295,0
1298,2
1299,4
1300,2
1301,2
1302,3
1303,2
1306,0
1307,0
1308,0
1309,4
1311,4
1313,3
1314,3
1315,3
1317,4
1319,4
1320,3
1324,1
1326,1
1327,4
1330,2
1331,0
1332,4
1333,3
1336,4
1338,4
1339,1
1340,2
1341,0
1342,3
1346,0
1347,4
1348,4
1351,1
1352,1
1354,1
1357,4
1358,3
1359,2
1361,1
1362,3
1363,3
1364,3
1368,3
1369,3
1371,3
1372,3
1373,0
1377,3
1380,1
1381,3
1382,2
1384,1
1385,1
1387,0
1390,3
1391,3
1395,2
1397,4
1398,0
1400,0
1402,3
1407,2
1409,4
1410,3
1413,2
1415,3
1416,2
1418,2
1419,0
1420,1
1421,3
1422,3
1423,3
1425,2
1426,3
1427,0
1428,2
1430,2
1431,4
1432,1
1434,3
1435,2
1437,3
1438,3
1439,4
1442,0
1443,4
1444,1
1445,3
1447,3
1448,3
1449,3
1450,1
1454,2
1455,3
1458,4
1459,0
1460,3
1461,2
1462,2
1465,1
1468,3
1470,3
1471,1
1472,4
1473,2
1474,3
1475,3
1477,3
1479,2
1480,2
1483,2
1485,0
1486,2
1488,2
1489,4
1491,3
1492,2
1493,3
1494,3
1496,1
1497,2
1498,4
1499,3
1500,4
1501,2
1503,0
1504,4
1509,4
1510,1
1513,3
1515,2
1516,3
1525,2
1526,3
1529,4
1530,3
1531,1
1533,3
1534,3
1538,2
1541,4
1545,3
1546,2
1548,0
1550,1
1552,0
1553,3
1555,3
1557,0
1563,3
1564,4
1565,4
1568,3
1572,4
1575,1
1577,4
1578,2
1579,0
1580,2
1582,0
1583,0
1584,1
1585,0
1588,4
1589,0
1590,0
1592,4
1593,0
1594,1
1595,3
1596,1
1597,1
1598,1
1600,3
1601,3
1602,3
1603,3
1605,1
1606,2
1608,4
1609,2
1612,2
1613,4
1615,3
1617,4
1622,4
1623,4
1624,1
1625,3
1628,0
1629,4
1631,3
1635,2
1636,1
1637,0
1639,3
1642,4
1644,0
1645,0
1647,1
1649,1
1650,3
1651,4
1652,2
1653,0
1654,3
1659,4
1660,0
1663,3
1664,3
1666,1
1668,3
1669,4
1671,3
1672,0
1673,3
1675,3
1682,3
1683,0
1686,3
1688,3
1692,4
1694,0
1696,1
1697,2
1698,0
1699,3
1704,3
1705,3
1706,1
1708,2
1709,3
1710,0
1711,3
1714,1
1715,4
1716,1
1717,3
1718,3
1719,4
1720,3
1721,3
1722,2
1723,3
1725,3
1728,3
1729,3
1731,1
1733,2
1734,1
1737,0
1741,2
1742,0
1743,0
1744,2
1746,3
1747,1
1748,0
1751,0
1752,2
1756,1
1757,3
1759,3
1761,0
1767,0
1768,3
1771,3
1781,1
1782,4
1783,1
1785,3
1786,3
1787,2
1788,3
1791,4
1794,0
1795,3
1796,0
1797,3
1798,0
1799,1
1800,1
1802,3
1803,0
1805,2
1807,1
1809,3
1810,2
1812,2
1815,2
1817,4
1820,0
1821,2
1823,1
1827,1
1828,1
1830,1
1832,1
1833,3
1834,4
1837,3
1838,3
1840,3
1841,0
1842,3
1843,3
1844,3
1846,1
1848,0
1849,1
1851,2
1852,3
1853,0
1854,3
1855,1
1861,4
1863,3
1864,3
1867,3
1869,2
1875,4
1876,4
1880,4
1882,0
1883,3
1884,2
1885,2
1889,3
1890,3
1891,1
1892,0
1893,4
1894,2
1901,3
1903,3
1908,4
1909,1
1910,4
1912,4
1913,0
1914,3
1915,2
1921,4
1923,3
1924,0
1927,4
1929,4
1930,0
1931,1
1932,3
1933,2
1934,4
1935,3
1938,1
1939,2
1940,2
1941,3
1942,1
1943,2
1945,2
1948,0
1951,3
1953,4
1954,1
1955,4
1957,2
1959,3
1960,2
1966,3
1967,3
1968,0
1969,0
1971,3
1974,0
1976,3
1977,3
1978,1
1980,2
1984,1
1985,2
1988,1
1992,4
1993,4
1995,4
1997,0
1998,3
1999,2
2002,2
2003,2
2005,1
2006,4
2007,4
2011,2
2013,3
2016,0
2020,1
2023,0
2024,3
2027,4
2028,2
2034,2
2042,0
2043,4
2044,0
2046,3
2047,3
2052,0
2053,3
2054,4
2055,3
2056,2
2058,3
2060,1
2061,3
2062,3
2065,1
2066,1
2068,3
2069,0
2070,0
2072,3
2073,2
2075,4
2076,3
2077,3
2080,2
2081,3
2082,2
2084,3
2087,1
2089,3
2092,3
2093,0
2095,1
2099,4
2100,0
2102,0
2104,3
2105,0
2106,4
2107,0
2108,3
2109,0
2111,3
2112,3
2115,3
2116,3
2117,3
2118,2
2119,3
2120,3
2121,0
2122,4
2124,3
2125,1
2126,0
2129,4
2130,3
2133,0
2138,2
2139,1
2143,3
2146,0
2147,3
2148,3
2150,4
2151,1
2152,4
2153,3
2154,1
2155,3
2157,4
2160,1
2164,4
2165,3
2166,1
2169,2
2171,3
2173,2
2174,2
2175,0
2176,3
2178,1
2179,4
2180,0
2181,0
2186,1
2191,2
2192,0
2195,0
2196,4
2198,1
2199,1
2200,4
2201,4
2202,4
2203,1
2204,0
2205,4
2206,3
2209,3
2210,0
2213,0
2214,1
2215,2
2218,3
2220,2
2224,3
2225,0
2227,2
2228,1
2229,3
2231,2
2232,3
2235,4
2236,2
2237,2
2239,1
2243,1
2245,2
2247,0
2248,4
2250,0
2253,3
2256,2
2257,4
2261,2
2264,1
2265,0
2268,3
2270,3
2273,3
2274,4
2275,0
2277,3
2278,3
2280,2
2283,2
2285,4
2286,0
2287,1
2289,1
2293,1
2294,3
2295,3
2296,0
2297,0
2298,3
2300,3
2301,3
2302,2
2303,2
2306,3
2308,3
2309,3
2310,3
2314,1
2317,3
2318,0
2320,1
2321,2
2325,0
2326,3
2329,4
2333,2
2334,1
2335,2
2338,3
2339,3
2341,2
2342,0
2348,0
2349,1
2350,3
2351,2
2352,3
2353,2
2354,1
2356,1
2358,3
2360,4
2361,3
2362,1
2363,3
2364,3
2365,3
2367,0
2369,3
2371,4
2372,2
2374,0
2379,0
2381,3
2383,3
2384,3
2388,2
2390,0
2391,0
2392,4
2393,4
2396,2
2400,3
2401,3
2402,2
2403,2
2405,4
2406,3
2408,3
2410,1
2412,1
2414,2
2415,2
2417,1
2418,3
2420,3
2421,2
2422,4
2424,1
2425,3
2426,3
2429,0
2430,3
2431,2
2432,0
2433,4
2436,1
2437,0
2438,3
2439,2
2441,3
2442,0
2443,4
2444,3
2447,1
2449,4
2451,3
2452,3
2453,1
2455,4
2457,0
2458,3
2460,3
2461,3
2462,3
2469,4
2470,3
2471,1
2472,3
2473,4
2474,3
2476,1
2478,2
2479,0
2482,3
2484,1
2485,1
2486,1
2488,4
2489,1
2494,2
2495,2
2496,1
2498,2
2499,4
2501,1
2509,2
2510,0
2511,0
2512,2
2513,3
2515,0
2518,4
2519,3
2520,4
2524,4
2529,1
2530,3
2533,0
2535,3
2536,4
2537,1
2539,3
2540,0
2542,3
2544,2
2545,0
2547,4
2548,1
2551,4
2552,3
2554,4
2555,1
2556,2
2558,3
2564,0
2566,0
2567,2
2570,3
2571,3
2573,3
2574,3
2575,4
2578,2
2579,3
2580,2
2581,3
2583,0
2584,2
2586,3
2587,0
2589,3
2590,4
2591,1
2592,2
2594,1
2595,0
2596,0
2597,3
2600,3
2601,3
2602,1
2604,0
2605,3
2606,4
2609,0
2611,3
2614,1
2616,3
2617,3
2620,3
2621,0
2623,4
2624,3
2625,0
2627,4
2628,3
2632,3
2634,3
2635,3
2636,3
2638,3
2641,1
2642,1
2644,2
2645,2
2646,4
2648,0
2650,1
2651,1
2652,4
2653,0
2655,2
2656,0
2657,1
2659,3
2660,3
2662,4
2664,4
2665,3
2669,4
2671,3
2673,0
2674,3
2678,3
2682,3
2683,1
2684,2
2686,3
2689,2
2690,2
2692,0
2694,1
2696,4
2697,2
2698,2
2699,4
2701,3
2707,3
2708,4
2713,4
2714,2
2715,4
2718,2
2719,0
2720,0
2721,2
2723,1
2724,1
2725,0
2728,2
2729,1
2731,0
2733,4
2734,3
2735,2
2736,0
2739,4
2740,4
2742,1
2743,1
2744,1
2745,2
2746,3
2748,3
2751,2
2752,4
2756,4
2758,3
2760,3
2761,3
2763,2
2765,1
2766,0
2768,3
2769,3
2770,2
2775,4
2776,4
2777,1
2778,3
2779,1
2780,0
2781,2
2783,1
2786,3
2787,4
2788,2
2789,3
2790,0
2793,1
2795,0
2800,2
2801,1
2802,0
2803,1
2804,3
2806,4
2810,3
2811,1
2812,3
2816,2
2817,4
2818,4
2819,1
2824,3
2825,3
2826,3
2828,2
2830,2
2832,3
2834,3
2835,2
2837,2
2838,3
2839,2
2840,2
2841,2
2851,4
2854,3
2855,2
2857,1
2862,2
2864,3
2866,1
2867,0
2868,1
2872,3
2876,4
2877,2
2879,3
2880,0
2884,3
2886,1
2888,0
2889,0
2890,4
2892,4
2894,2
2895,3
2897,4
2899,3
2901,0
2902,0
2903,0
2905,3
2906,3
2911,3
2914,4
2916,3
2918,3
2921,4
2923,3
2925,2
2926,3
2928,2
2929,1
2939,3
2941,3
2942,4
2946,3
2951,0
2952,4
2955,3
2956,1
2958,3
2961,1
2964,2
2966,3
2967,3
2971,4
2972,1
2974,4
2976,4
2977,1
2978,4
2981,3
2983,2
2984,3
2985,4
2987,0
2988,3
2989,0
2990,3
2992,0
2994,3
2995,3
2996,4
2997,1
2998,0
3001,3
3002,0
3005,3
3010,0
3011,1
3014,0
3016,1
3017,4
3018,1
3020,4
3022,1
3025,0
3026,0
3028,3
3034,4
3036,0
3037,3
3039,1
3040,0
3041,3
3042,3
3043,1
3044,2
3045,1
3047,3
3049,4
3052,0
3053,1
3055,2
3058,3
3059,1
3060,3
3061,3
3063,1
3064,4
3065,1
3066,0
3067,1
3071,3
3072,4
3073,3
3077,4
3082,0
3083,2
3084,3
3087,4
3089,4
3094,0
3096,2
3099,1
3101,3
3102,1
3103,2
3104,3
3105,1
3106,2
3107,4
3111,0
3114,0
3116,2
3117,1
3122,4
3123,2
3125,3
3126,1
3127,0
3128,3
3129,3
3131,4
3132,2
3133,1
3136,3
3137,3
3139,1
3141,0
3142,3
3143,3
3144,1
3145,3
3146,2
3148,3
3150,0
3152,3
3153,3
3154,2
3156,3
3158,1
3159,3
3163,0
3168,3
3170,3
3172,4
3173,2
3175,1
3176,3
3178,0
3183,4
3184,2
3186,2
3187,1
3188,4
3189,4
3192,1
3193,0
3194,1
3195,4
3197,2
3198,3
3199,0
3200,0
3202,2
3204,3
3208,2
3209,3
3210,3
3211,0
3215,1
3216,4
3217,4
3219,3
3220,3
3221,3
3223,3
3224,2
3225,3
3226,4
3227,3
3229,3
3231,3
3234,0
3235,4
3237,4
3240,3
3241,3
3242,1
3243,0
3244,3
3245,2
3246,2
3247,1
3248,2
3249,2
3250,3
3251,2
3256,0
3257,3
3260,3
3261,0
3262,2
3263,2
3264,2
3265,3
3267,1
3269,1
3277,3
3279,1
3280,1
3281,3
3283,0
3288,3
3289,4
3290,0
3291,0
3292,3
3294,3
3295,4
3296,2
3297,3
3298,3
3299,0
3304,2
3305,0
3306,4
3308,2
3309,2
3313,1
3314,0
3318,0
3321,1
3323,2
3325,4
3327,0
3328,3
3330,2
3332,2
3333,1
3334,3
3335,1
3336,0
3337,4
3339,3
3340,1
3342,3
3345,4
3346,2
3347,2
3349,3
3353,2
3354,2
3355,1
3357,1
3358,3
3359,0
3360,3
3361,1
3365,3
3368,3
3369,3
3370,2
3371,1
3372,1
3374,3
3378,1
3379,3
3380,4
3383,2
3386,0
3388,0
3391,0
3394,3
3395,0
3396,3
3398,2
3400,1
3401,2
3402,2
3404,0
3408,0
3409,4
3411,2
3414,3
3417,1
3418,4
3419,3
3421,2
3422,3
3427,3
3429,1
3430,4
3431,0
3432,2
3434,2
3435,3
3438,3
3439,3
3440,0
3442,4
3444,2
3446,2
3447,3
3449,0
3452,1
3453,3
3456,0
3459,3
3460,2
3463,0
3466,4
3467,1
3469,4
3470,4
3472,4
3474,3
3475,3
3476,3
3479,2
3480,2
3481,0
3483,3
3484,1
3487,3
3491,0
3492,2
3493,1
3494,4
3500,3
3501,0
3503,0
3506,3
3507,3
3508,3
3509,4
3510,3
3511,4
3514,4
3516,3
3518,4
3521,4
3522,2
3523,3
3524,2
3525,1
3526,3
3528,4
3530,1
3531,3
3533,0
3535,3
3536,3
3537,2
3538,3
3539,0
3540,2
3542,2
3544,0
3545,1
3546,3
3547,3
3550,1
3551,3
3553,3
3557,0
3558,3
3559,2
3560,3
3561,2
3563,4
3564,0
3567,3
3571,0
3572,2
3574,3
3575,3
3576,3
3577,0
3578,0
3579,3
3580,2
3581,3
3586,3
3587,1
3588,4
3589,0
3590,4
3592,0
3593,3
3594,0
3596,1
3599,0
3601,1
3602,0
3603,2
3606,0
3608,3
3609,0
3610,3
3612,2
3613,3
3616,2
3617,0
3619,3
3620,2
3621,3
3623,3
3624,4
3626,0
3627,2
3628,3
3629,3
3634,4
3635,0
3638,3
3640,1
3641,0
3642,4
3643,0
3649,4
3651,2
3652,0
3653,3
3654,1
3655,0
3656,1
3658,1
3659,3
3660,3
3662,1
3663,3
3664,1
3667,4
3668,0
3670,1
3673,3
3676,1
3679,3
3682,3
3684,4
3685,2
3687,3
3688,3
3690,3
3691,1
3692,0
3694,3
3697,4
3700,0
3701,3
3703,1
3704,1
3705,4
3709,3
3710,3
3711,2
3713,2
3715,0
3716,2
3717,2
3719,2
3721,3
3725,0
3726,3
3727,3
3729,2
3730,3
3731,3
3732,3
3733,3
3736,2
3739,3
3741,0
3742,0
3745,0
3746,3
3747,4
3748,3
3750,4
3751,3
3752,1
3753,4
3755,1
3757,3
3760,3
3761,0
3763,3
3765,2
3766,3
3769,4
3770,1
3773,3
3774,4
3777,3
3782,3
3787,3
3789,2
3791,1
3792,3
3793,1
3795,3
3796,3
3800,3
3801,4
3802,0
3803,2
3804,3
3805,3
3807,1
3810,0
3811,3
3817,1
3818,4
3819,1
3821,4
3822,4
3824,2
3825,0
3826,1
3828,3
3829,2
3831,2
3833,2
3836,3
3838,1
3839,0
3841,0
3842,2
3843,2
3844,2
3846,2
3848,1
3849,2
3850,3
3852,2
3853,1
3856,4
3861,2
3864,3
3865,3
3866,2
3867,0
3869,3
3871,1
3873,0
3875,3
3878,2
3879,2
3880,3
3881,0
3883,4
3885,1
3886,4
3887,4
3889,1
3891,2
3893,4
3894,4
3895,4
3897,0
3899,3
3900,2
3906,3
3908,3
3910,2
3911,3
3913,0
3915,3
3916,2
3920,3
3921,1
3923,2
3924,1
3925,0
3926,3
3929,4
3934,4
3935,4
3936,3
3937,4
3939,2
3941,0
3942,2
3943,0
3944,1
3945,0
3948,1
3950,4
3952,4
3953,1
3954,0
3955,2
3956,0
3957,4
3959,1
3960,1
3961,4
3963,1
3964,3
3966,4
3969,3
3972,3
3974,1
3975,3
3976,4
3977,0
3978,3
3980,2
3984,2
3986,4
3990,3
3993,3
3994,4
3996,3
3999,4
4000,3
4002,3
4003,3
4004,2
4005,3
4009,2
4012,3
4015,3
4016,4
4017,0
4018,3
4020,3
4021,0
4022,1
4023,3
4025,1
4027,1
4028,2
4031,4
4032,3
4034,2
4035,3
4037,0
4038,4
4039,2
4041,0
4042,3
4043,2
4044,3
4047,4
4050,4
4055,1
4056,3
4058,3
4060,0
4061,0
4062,3
4064,4
4065,2
4066,1
4069,2
4070,3
4073,0
4074,3
4078,3
4079,3
4080,0
4081,1
4084,3
4087,1
4092,4
4093,0
4094,3
4095,1
4096,3
4098,1
4099,3
4100,2
4102,4
4104,4
4105,0
4112,3
4117,2
4119,2
4120,3
4121,3
4122,3
4124,0
4125,3
4127,1
4129,0
4130,0
4132,3
4133,0
4134,2
4135,0
4136,3
4137,0
4141,0
4144,2
4145,0
4146,1
4147,3
4148,1
4149,2
4150,2
4152,2
4153,0
4155,3
4157,4
4158,1
4159,3
4160,3
4163,3
4164,2
4165,1
4168,3
4169,3
4170,4
4172,2
4175,2
4177,2
4179,4
4181,2
4184,0
4186,3
4192,4
4193,1
4197,3
4198,2
4199,3
4200,1
4203,1
4206,1
4207,0
4208,0
4215,0
4217,4
4219,1
4222,2
4225,4
4227,3
4229,2
4233,4
4234,3
4235,0
4236,1
4237,0
4238,2
4241,4
4246,1
4247,4
4249,2
4250,0
4252,0
4253,1
4254,1
4256,1
4258,2
4259,4
4261,3
4263,1
4265,1
4267,0
4268,1
4269,0
4271,1
4272,3
4275,3
4276,3
4277,3
4280,1
4281,3
4282,3
4283,1
4286,2
4287,3
4290,2
4292,3
4295,2
4297,3
4300,3
4301,2
4305,3
4308,0
4309,2
4310,1
4312,3
4313,0
4316,2
4317,2
4318,4
4319,1
4320,4
4321,3
4322,2
4323,2
4325,0
4328,1
4331,3
4332,0
4333,3
4334,3
4335,2
4336,3
4337,3
4338,0
4340,3
4341,3
4343,3
4344,3
4345,3
4346,2
4348,0
4349,2
4350,1
4351,0
4353,3
4355,1
4360,4
4361,1
4364,0
4365,2
4367,3
4369,3
4370,3
4371,4
4373,4
4374,3
4376,3
4377,3
4381,4
4382,3
4383,4
4384,3
4385,0
4388,3
4389,3
4391,0
4392,0
4393,2
4397,0
4400,0
4402,3
4404,3
4406,3
4407,1
4409,4
4410,3
4411,4
4412,2
4413,3
4414,3
4418,1
4421,0
4423,3
4425,1
4430,0
4434,3
4435,0
4436,3
4437,0
4438,3
4440,3
4441,1
4442,3
4443,0
4444,3
4446,3
4447,0
4448,4
4449,2
4450,3
4451,3
4452,2
4457,1
4458,3
4461,0
4463,2
4464,4
4465,3
4468,1
4470,2
4471,3
4474,4
4477,2
4479,3
4481,4
4483,3
4485,2
4491,4
4494,4
4497,3
4501,4
4504,0
4505,3
4506,3
4510,4
4511,4
4513,4
4514,0
4515,3
4520,4
4522,0
4524,1
4526,1
4527,3
4531,3
4532,3
4534,2
4535,0
4536,1
4537,3
4543,1
4547,2
4548,1
4549,4
4553,1
4555,0
4556,4
4557,1
4560,4
4562,4
4563,0
4564,3
4565,3
4567,0
4568,2
4569,4
4570,4
4572,0
4574,4
4576,4
4578,3
4580,4
4583,3
4584,1
4585,4
4588,2
4589,3
4592,1
4596,4
4597,0
4598,4
4601,4
4603,3
4604,1
4605,3
4606,4
4607,0
4608,2
4609,3
4611,4
4612,0
4614,3
4615,2
4617,0
4619,4
4622,2
4625,3
4626,0
4628,4
4630,3
4631,3
4632,3
4633,0
4636,1
4637,3
4640,1
4641,4
4645,0
4646,2
4647,2
4648,2
4649,0
4652,3
4653,2
4654,2
4655,2
4656,4
4657,2
